INFO 2025-06-01 11:47:24,184 autoreload 18968 6860 Watching for file changes with StatReloader
INFO 2025-06-06 16:38:30,268 autoreload 9332 11776 C:\Users\USER\Desktop\Dev_Projects\fsfvi\backend\django_app\fsfvi\serializers.py changed, reloading.
INFO 2025-06-06 16:38:31,761 autoreload 19800 17488 Watching for file changes with StatReloader
INFO 2025-06-07 11:23:12,052 validators 13584 14952 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:23:12,052 validators 13584 14952 Dependency matrix validation completed successfully
INFO 2025-06-07 11:23:12,053 advanced_weighting 13584 14952 Dynamic Weighting System initialized
INFO 2025-06-07 11:23:12,053 fsfvi_service 13584 14952 FSFVI Calculation Service initialized
INFO 2025-06-07 11:23:12,053 fsfvi_service 13584 14952 FSFVI Optimization Service initialized
INFO 2025-06-07 11:23:12,054 validators 13584 14952 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:23:12,054 validators 13584 14952 Dependency matrix validation completed successfully
INFO 2025-06-07 11:23:12,055 advanced_weighting 13584 14952 Dynamic Weighting System initialized
INFO 2025-06-07 11:23:12,055 fsfvi_service 13584 14952 FSFVI Calculation Service initialized
INFO 2025-06-07 11:23:12,055 fsfvi_service 13584 14952 FSFVI Optimization Service initialized
INFO 2025-06-07 11:23:12,055 fsfvi_service 13584 14952 FSFVI Analysis Service initialized
INFO 2025-06-07 11:23:12,090 validators 13584 14952 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:23:12,091 validators 13584 14952 Dependency matrix validation completed successfully
INFO 2025-06-07 11:23:12,091 advanced_weighting 13584 14952 Dynamic Weighting System initialized
INFO 2025-06-07 11:23:12,092 fsfvi_service 13584 14952 FSFVI Calculation Service initialized
INFO 2025-06-07 11:40:09,811 validators 1076 11932 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:40:09,812 validators 1076 11932 Dependency matrix validation completed successfully
INFO 2025-06-07 11:40:09,812 advanced_weighting 1076 11932 Dynamic Weighting System initialized
INFO 2025-06-07 11:40:09,813 fsfvi_service 1076 11932 FSFVI Calculation Service initialized
INFO 2025-06-07 11:40:09,813 fsfvi_service 1076 11932 FSFVI Optimization Service initialized
INFO 2025-06-07 11:40:09,814 validators 1076 11932 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:40:09,814 validators 1076 11932 Dependency matrix validation completed successfully
INFO 2025-06-07 11:40:09,814 advanced_weighting 1076 11932 Dynamic Weighting System initialized
INFO 2025-06-07 11:40:09,815 fsfvi_service 1076 11932 FSFVI Calculation Service initialized
INFO 2025-06-07 11:40:09,815 fsfvi_service 1076 11932 FSFVI Optimization Service initialized
INFO 2025-06-07 11:40:09,815 fsfvi_service 1076 11932 FSFVI Analysis Service initialized
INFO 2025-06-07 11:40:09,846 validators 1076 11932 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:40:09,846 validators 1076 11932 Dependency matrix validation completed successfully
INFO 2025-06-07 11:40:09,847 advanced_weighting 1076 11932 Dynamic Weighting System initialized
INFO 2025-06-07 11:40:09,847 fsfvi_service 1076 11932 FSFVI Calculation Service initialized
INFO 2025-06-07 11:45:20,742 validators 14056 12676 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:45:20,742 validators 14056 12676 Dependency matrix validation completed successfully
INFO 2025-06-07 11:45:20,743 advanced_weighting 14056 12676 Dynamic Weighting System initialized
INFO 2025-06-07 11:45:20,743 fsfvi_service 14056 12676 FSFVI Calculation Service initialized
INFO 2025-06-07 11:45:20,743 fsfvi_service 14056 12676 FSFVI Optimization Service initialized
INFO 2025-06-07 11:45:20,744 validators 14056 12676 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:45:20,744 validators 14056 12676 Dependency matrix validation completed successfully
INFO 2025-06-07 11:45:20,744 advanced_weighting 14056 12676 Dynamic Weighting System initialized
INFO 2025-06-07 11:45:20,745 fsfvi_service 14056 12676 FSFVI Calculation Service initialized
INFO 2025-06-07 11:45:20,745 fsfvi_service 14056 12676 FSFVI Optimization Service initialized
INFO 2025-06-07 11:45:20,745 fsfvi_service 14056 12676 FSFVI Analysis Service initialized
INFO 2025-06-07 11:45:20,772 validators 14056 12676 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:45:20,773 validators 14056 12676 Dependency matrix validation completed successfully
INFO 2025-06-07 11:45:20,773 advanced_weighting 14056 12676 Dynamic Weighting System initialized
INFO 2025-06-07 11:45:20,773 fsfvi_service 14056 12676 FSFVI Calculation Service initialized
INFO 2025-06-07 11:56:11,510 validators 5660 5240 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:56:11,510 validators 5660 5240 Dependency matrix validation completed successfully
INFO 2025-06-07 11:56:11,511 advanced_weighting 5660 5240 Dynamic Weighting System initialized
INFO 2025-06-07 11:56:11,511 fsfvi_service 5660 5240 FSFVI Calculation Service initialized
INFO 2025-06-07 11:56:11,511 fsfvi_service 5660 5240 FSFVI Optimization Service initialized
INFO 2025-06-07 11:56:11,512 validators 5660 5240 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:56:11,512 validators 5660 5240 Dependency matrix validation completed successfully
INFO 2025-06-07 11:56:11,513 advanced_weighting 5660 5240 Dynamic Weighting System initialized
INFO 2025-06-07 11:56:11,513 fsfvi_service 5660 5240 FSFVI Calculation Service initialized
INFO 2025-06-07 11:56:11,513 fsfvi_service 5660 5240 FSFVI Optimization Service initialized
INFO 2025-06-07 11:56:11,513 fsfvi_service 5660 5240 FSFVI Analysis Service initialized
INFO 2025-06-07 11:56:11,540 validators 5660 5240 AHP matrix consistency validated: CR = 0.002
INFO 2025-06-07 11:56:11,541 validators 5660 5240 Dependency matrix validation completed successfully
INFO 2025-06-07 11:56:11,541 advanced_weighting 5660 5240 Dynamic Weighting System initialized
INFO 2025-06-07 11:56:11,542 fsfvi_service 5660 5240 FSFVI Calculation Service initialized
