project name,subsector,match_score,Expenditures (million USD),food system indicator,Value,benchmark
Sample Livelihoods Project,"Livelihoods, Poverty, and Equity",65,0.8,Share of agriculture in GDP,22,11
Sample Livelihoods Project,"Livelihoods, Poverty, and Equity",65,0.8,Social protection adequacy,,30
Sample Livelihoods Project,"Livelihoods, Poverty, and Equity",65,0.8,Social protection coverage,,60
Sample Livelihoods Project,"Livelihoods, Poverty, and Equity",65,0.8,Underemployment rate,6.0,5.0
Sample Livelihoods Project,"Livelihoods, Poverty, and Equity",65,0.8,Unemployment rate,5.1,8.0
Sample Production Project,Production systems and input supply,60,0.04,"Agriculture, forestry, and fishing value added per worker",2100,16000
Sample Production Project,Production systems and input supply,60,0.04,Beef yield,110,205
Sample Production Project,Production systems and input supply,60,0.04,Cereals yield,0.17,0.38
Sample Production Project,Production systems and input supply,60,0.04,Chicken yield,14200,13700
Sample Production Project,Production systems and input supply,60,0.04,Citrus yield,0.92,1.36
Sample Production Project,Production systems and input supply,60,0.04,Cow's milk yield,8500,30500
Sample Production Project,Production systems and input supply,60,0.04,Cropland nitrogen use efficiency,65,64
Sample Production Project,Production systems and input supply,60,0.04,Cropland phosphorus,5.5,13.5
Sample Production Project,Production systems and input supply,60,0.04,Eggs yield,48000,94000
Sample Production Project,Production systems and input supply,60,0.04,Fertilizer consumption,55,165
Sample Production Project,Production systems and input supply,60,0.04,Fruit yield,1.7,1.2
Sample Production Project,Production systems and input supply,60,0.04,Percent of cultivated land equipped for irrigation,3.2,22
Sample Production Project,Production systems and input supply,60,0.04,Pork yield,540,665
Sample Production Project,Production systems and input supply,60,0.04,Pulses yield,0.07,0.15
Sample Production Project,Production systems and input supply,60,0.04,Roots and tubers yield,1.12,1.77
Sample Production Project,Production systems and input supply,60,0.04,Share of employment in agriculture,34,24
Sample Production Project,Production systems and input supply,60,0.04,Soil organic content,42,87
Sample Production Project,Production systems and input supply,60,0.04,Treenuts yield,0.14,0.26
Sample Production Project,Production systems and input supply,60,0.04,Vegetable yield,1.6,1.8
Sample Storage Project,Storage and distribution,65,1.0,Cereal losses,2.3,3.8
Sample Storage Project,Storage and distribution,65,1.0,Farm infrastructure index,50,55
Sample Storage Project,Storage and distribution,65,1.0,Fruit losses,9.0,9.2
Sample Storage Project,Storage and distribution,65,1.0,Percent of the rural population with access to electricity,30,62
Sample Storage Project,Storage and distribution,65,1.0,Pulse losses,12.2,4.1
Sample Storage Project,Storage and distribution,65,1.0,Road density,0.0017,0.0073
Sample Storage Project,Storage and distribution,65,1.0,Starchy root losses,8.3,7.1
Sample Storage Project,Storage and distribution,65,1.0,Supply chain infrastructure index,25,49
Sample Storage Project,Storage and distribution,65,1.0,Treenut losses,7.0,5.2
Sample Storage Project,Storage and distribution,65,1.0,Vegetable losses,8.6,7.4
Sample Nutrition Project,Nutritional status,65,0.65,Adult overweight,32,52
Sample Nutrition Project,Nutritional status,65,0.65,Adult underweight,12.5,6.0
Sample Nutrition Project,Nutritional status,65,0.65,Anemia in women,29,28
Sample Nutrition Project,Nutritional status,65,0.65,Obesity in children and adolescents 5-19 years,2.5,10.5
Sample Nutrition Project,Nutritional status,65,0.65,Overweight in children and adolescents 5-19 years,10,26
Sample Nutrition Project,Nutritional status,65,0.65,Underweight in Women,9,6
Sample Nutrition Project,Nutritional status,65,0.65,Underweight in children and adolescents 5-19 years,8.5,5.1
Sample Population Project,Population growth and migration,60,6.1,Annual population growth,2.0,1.0
Sample Population Project,Population growth and migration,60,6.1,Total international migrant stock,1100000,1250000
Sample Population Project,Population growth and migration,60,6.1,Total population,52000000,36500000 
